
C-bug	1d76db	Behaviour, or an API, contradicts its documented or advertised contract
C-feature	1d76db	A new capability, behind new API or new machinery
C-enhancement	1d76db	Improves existing behaviour — performance, ergonomics — with no new capability
C-cleanup	1d76db	Internal quality, hygiene or metadata; no observable behaviour change
C-docs	1d76db	Documentation only — no code change closes it
C-investigation	1d76db	Closes with evidence: a measurement, a reproduction, an instrument
C-design	1d76db	Closes with a written design or RFC. The solution space is what is missing
C-decision	1d76db	Closes when the selected behavior is encoded at its canonical current-state location
C-tracking-issue	1d76db	Umbrella over sub-issues. Carries no work of its own

A-rsos	c5def5	The ordered map, fingerprint and canonical encoding
A-rbsr	c5def5	The range-based set-reconciliation algorithm and its refinement policy
A-lww-register	c5def5	Domain types — Entry/State, Timestamp/HLC, the Clock and Persistence ports
A-gossip	c5def5	Transport, authentication, replay protection, discovery
A-reconcile	c5def5	The facade — ReplicatedMap, ReadReplicaMap, Config, wiring
A-wire	c5def5	The on-the-wire and on-disk formats — compatibility is at stake
A-security	c5def5	Threat model, cryptography, key handling
A-persistence	c5def5	Snapshots, durability, recovery
A-observability	c5def5	Metrics, tracing, operational signals
A-perf	c5def5	Throughput, latency, memory, and the benchmarks that measure them
A-release	c5def5	Packaging, semver, CI, publication mechanics
A-meta	c5def5	The repository itself — its docs, its tracker, its agent instructions

S-needs-triage	fbca04	Not yet classified. The default on anything new; C-/A- are not required until it leaves
S-ready	fbca04	Understood, unblocked, and actionable as written
S-blocked	fbca04	Blocked by another issue, named in the body
S-parked	fbca04	Deliberately not now. The body MUST state what would wake it up

M-breaking	b60205	Non-additive public API or wire change requiring a major version

good first issue	7057ff	Scoped, self-contained, and reachable without repository context
help wanted	008672	Maintainers would take a contribution here
